character_cn,first_appearance,first_jp_eligible_round,first_cn_eligible_round,eligible_jp_rounds,eligible_cn_rounds,missing_early_jp_rounds,missing_early_cn_rounds,event_count,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_fulltext_comment_sample_count,pixiv_tag_count_snapshot,eligible_jp_rounds_with_evidence,eligible_cn_rounds_with_evidence,eligible_jp_rounds_without_evidence,eligible_cn_rounds_without_evidence,gap_status,coverage_limit
尘塚姥芽,东方锦上京,21,,21,,,,0,1,0,0,1,,1,0,0,0,all_eligible_rounds_have_round_evidence,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
道神驯子,东方锦上京,21,,21,,,,0,2,0,0,3,,1,0,0,0,all_eligible_rounds_have_round_evidence,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
丁礼田舞,东方天空璋,14,6,14;15;16;17;18;19;20;21,6;7;8;9;10;11,14;15;16;17;18;19;20;21,6;7;8;9;10;11,1,0,0,0,0,,0,0,8,6,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
三头慧之子,东方兽王园,19,11,19;20;21,11,19;20;21,11,1,0,0,0,0,,0,0,3,1,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
上白泽慧音,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,3,0,0,2,,4,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
东风谷早苗,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,4,2,0,4,,7,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
丰聪耳神子,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,4,3,0,3,,4,0,9,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
九十九八桥,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,1,2,0,0,2,,1,0,11,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
九十九弁弁,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,12,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
二岩猯藏,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
今泉影狼,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,1,6,0,1,4,,2,0,10,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
伊吹萃香,东方萃梦想,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;7;8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,2,3,1,0,3,,5,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
依神女苑,东方凭依华,14,7,14;15;16;17;18;19;20;21,7;8;9;10;11,15;16;17;18;19;20,7;8;9;10;11,0,8,0,1,3,,2,0,6,5,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
依神紫苑,东方凭依华,14,7,14;15;16;17;18;19;20;21,7;8;9;10;11,15;16;17;18;19;20,7;8;9;11,0,13,0,2,8,,2,1,6,4,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
依莉斯,东方灵异传,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,16,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
克劳恩皮丝,东方绀珠传,12,4,12;13;14;15;16;17;18;19;20;21,4;5;6;7;8;9;10;11,12;13;14;15;16;17;18;19;20,4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,9,8,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
八云紫,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,4,4,6,0,2,,8,0,11,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
八云蓝,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
八坂神奈子,东方风神录,5,1,5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,10,0,0,7,,7,0,10,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
八意永琳,东方永夜抄,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,1,40,0,1,17121,6,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
冈崎梦美,东方梦时空,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
冴月麟,东方红魔乡,20,1,20;21,1;2;3;4;5;6;7;8;9;10;11,20,1;2;3;4;5;6;7;8;9;10;11,0,4,10,0,4,,1,0,1,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
